"L3_AF_DMSO_B_10_APC","L3_AF_100_ETP_11_APC","L3_AF_100_ETP_12_APC","L3_AF_Med_C_13_APC","L3_AF_Med_C_14_APC","L3_AF_DMSo_C_15_APC","L3_AF_DMSO_C_16_APC","L3_AF_100_ETP_17_APC","L3_AF_100_ETP_18_APC","L3_AF_Med_D_19_APC","L3_AF_Med_A_1_APC","L3_AF_Med_D_20_APC","L3_AF_DMSo_D_21_APC","L3_AF_DMSO_D_22_APC","L3_AF_100_ETP_23_APC","L3_AF_100_ETP_24_APC","L3_AF_MedA_2_APC","L3_AF_DMSO_A_3_APC","L3_AF_DMSO_A_4_APC","L3_AF_100_ETP_5_APC","L3_AF_100_ETP_6_APC","L3_AF_Med_B_7_APC","L3_AF_Med_B_8_APC","L3_AF_DMSO_B_9_APC","L3_BF_Med_1_APC","L3_BF_Med_2_APC","L3_BF_DMSO_3_APC","L3_BF_DMSO_4_APC","L3_BF_100uM_ETP_5_APC","L3_BF_100uM_ETP_6_APC","L5_AF_DMSO_B_10_APC","L5_AF_100_ETp_11_APC","L5_AF_100_ETP_12_APC","L5_AF_MEd_C_13_APC","L5_AF_Med_C_14_APC","L5_AF_DMSO_C_15_APC","L5_AF_DMSO_C_16_APC","L5_AF_100_ETP_17_APC","L5_AF_100_ETP_18_APC","L5_AF_Med_D_19_APC","L5_AF_Med_A_1_APC","L5_AF_Med_D_20_APC","L5_AF_DMSO_D_21_APC","L5_AF_DMSO_D_22_APC","L5_AF_100_ETP_23_APC","L5_AF_100_ETP_24_APC","L5_AF_Med_A_2_APC","L5_AF_DMSO_A_3_APC","L5_AF_DMSO_A_4_APC","L5_AF_100_ETP_5_APC","L5_AF_100_ETP_6_APC","L5_AF_Med_B_7_APC","L5_AF_Med_B_8_APC","L5_AF_DMSO_B_9_APC","L5_BF_Med_1_APC","L5_BF_Med_2_APC","L5_BF_DMSO_3_APC","L5_BF_DMSO_4_APC","L5_BF_100_ETP_5_APC","L5_BF_100_ETP_6_APC","L6_AF_DMSO_B_10_APC","L6_AF_100_ETP_11_APC","L6_AF_100_ETP_12_APC","L6_AF_Med_C_13_APC","L6_AF_Med_C_14_APC","L6_AF_DMSO_C_15_APC","L6_AF_DMSO_C_16_APC","L6_AF_100_ETP_17_APC","L6_AF_100_ETP_18_APC","L6_AF_Med_D_19_APC","L6_AF_MEd_A_1_APC","L6_AF_Med_D_20_APC","L6_AF_DMSO_D_21_APC","L6_AF_DMSO_D_22_APC","L6_AF_100_ETP_23_APC","L6_AF_100_ETP_24_APC","L6_AF_Med_A_2_APC","L6_AF_DMSO_A_3_APC","L6_AF_DMSO_A_4_APC","L6_AF_100_ETP_5_APC","L6_AF_100_ETP_6_APC","L6_AF_MEd_B_7_APC","L6_AF_Med_B_8_APC","L6_AF_DMSO_B_9_APC","L6_BF_Med_1_APC","L6_BF_Med_2_APC","L6_BF_DMSO_3_APC","L6_BF_DMSO_4_APC","L6_BF_100_ETP_5_APC","L6_BF_100_ETP_6_APC","L7_AF_DMSO_B_10_APC","L7_AF_100_ETP_11_APC","L7_AF_100_ETP_12_APC","L7_AF_Med_C_13_APC","L7_AF_Med_C_14_APC","L7_AF_DMSo_C_15_APC","L7_AF_DMSO_C_16_APC","L7_AF_100_ETP_17_APC","L7_AF_100_ETP_18_APC","L7_AF_Med_D_19_APC","L7_AF_Med_A_1_APC","L7_AF_Med_D_20_APC","L7_AF_DMSO_D_21_APC","L7_AF_DMSO_D_22_APC","L7_AF_100_ETp_23_APC","L7_AF_100_ETP_24_APC","L7_AF_Med_A_2_APC","L7_AF_DMSO_A_3_APC","L7_AF_DMSO_A_4_APC","L7_AF_100_ETP_5_APC","L7_AF_100_ETP_6_APC","L7_AF_MEd_B_7_APC","L7_AF_MEd_B_8_APC","L7_AF_DMSO_B_9_APC","L7_BF_MEd_1_APC","L7_BF_Med_2_APC","L7_BF_DMSO_3_APC","L7_BF_DMSO_4_APC","L7_BF_100_ETP_5_APC","L7_BF_100_ETP_6_APC"
"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","2","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
